year,lb_ac,county,state
1984,1433.810053,HARDING,SD
1985,816.387801,HARDING,SD
1986,1164.759165,HARDING,SD
1987,1341.152661,HARDING,SD
1988,767.6836464,HARDING,SD
1989,1139.156935,HARDING,SD
1990,880.6868534,HARDING,SD
1991,1568.614832,HARDING,SD
1992,984.0347341,HARDING,SD
1993,1753.61686,HARDING,SD
1994,1073.13531,HARDING,SD
1995,2040.378483,HARDING,SD
1996,1861.698234,HARDING,SD
1997,1321.22276,HARDING,SD
1998,1302.694192,HARDING,SD
1999,2219.380375,HARDING,SD
2000,1210.297234,HARDING,SD
2001,1945.037445,HARDING,SD
2002,840.3326121,HARDING,SD
2003,1601.117866,HARDING,SD
2004,1115.42681,HARDING,SD
2005,1519.404209,HARDING,SD
2006,1413.660951,HARDING,SD
2007,1754.228186,HARDING,SD
2008,1905.941775,HARDING,SD
2009,1765.182135,HARDING,SD
2010,2154.079071,HARDING,SD
2011,2416.530339,HARDING,SD
2012,1037.106853,HARDING,SD
2013,1951.898216,HARDING,SD
2014,2613.10369,HARDING,SD
2015,1776.288316,HARDING,SD
2016,1214.056379,HARDING,SD
2017,1199.097655,HARDING,SD
2018,1740.004458,HARDING,SD
1984,1280.779181,BUTTE,SD
1985,575.8385679,BUTTE,SD
1986,1135.731604,BUTTE,SD
1987,1192.944548,BUTTE,SD
1988,676.3262078,BUTTE,SD
1989,949.536837,BUTTE,SD
1990,860.938283,BUTTE,SD
1991,1466.782438,BUTTE,SD
1992,664.3844578,BUTTE,SD
1993,1581.82992,BUTTE,SD
1994,906.6290031,BUTTE,SD
1995,1713.268754,BUTTE,SD
1996,1416.753515,BUTTE,SD
1997,1207.270511,BUTTE,SD
1998,1016.525234,BUTTE,SD
1999,1953.329402,BUTTE,SD
2000,1060.268058,BUTTE,SD
2001,1349.546979,BUTTE,SD
2002,708.0560841,BUTTE,SD
2003,1104.721797,BUTTE,SD
2004,1025.289075,BUTTE,SD
2005,1287.067284,BUTTE,SD
2006,1215.390013,BUTTE,SD
2007,1372.350526,BUTTE,SD
2008,1616.715387,BUTTE,SD
2009,2027.442121,BUTTE,SD
2010,1911.474807,BUTTE,SD
2011,1977.956371,BUTTE,SD
2012,775.0181034,BUTTE,SD
2013,1605.360981,BUTTE,SD
2014,2272.533135,BUTTE,SD
2015,1751.56944,BUTTE,SD
2016,1013.449098,BUTTE,SD
2017,988.7817932,BUTTE,SD
2018,1641.048727,BUTTE,SD
1984,1108.960868,SIOUX,NE
1985,742.2509169,SIOUX,NE
1986,1300.903169,SIOUX,NE
1987,1280.103948,SIOUX,NE
1988,993.1095754,SIOUX,NE
1989,656.6559991,SIOUX,NE
1990,972.7627121,SIOUX,NE
1991,1571.068992,SIOUX,NE
1992,826.2862403,SIOUX,NE
1993,1188.819857,SIOUX,NE
1994,746.8916317,SIOUX,NE
1995,1571.42194,SIOUX,NE
1996,1155.751724,SIOUX,NE
1997,1111.363768,SIOUX,NE
1998,934.6144253,SIOUX,NE
1999,1572.426447,SIOUX,NE
2000,1008.549782,SIOUX,NE
2001,1510.023226,SIOUX,NE
2002,1098.948122,SIOUX,NE
2003,1582.657824,SIOUX,NE
2004,966.154493,SIOUX,NE
2005,1772.359437,SIOUX,NE
2006,877.3999146,SIOUX,NE
2007,947.3039027,SIOUX,NE
2008,1459.435483,SIOUX,NE
2009,1713.739613,SIOUX,NE
2010,1694.508817,SIOUX,NE
2011,1644.254656,SIOUX,NE
2012,662.5704836,SIOUX,NE
2013,1048.663988,SIOUX,NE
2014,2159.36808,SIOUX,NE
2015,1551.716535,SIOUX,NE
2016,1254.950918,SIOUX,NE
2017,1069.523054,SIOUX,NE
2018,1373.511653,SIOUX,NE
1984,1070.030935,SCOTTS BLUFF,NE
1985,795.6304777,SCOTTS BLUFF,NE
1986,1331.041475,SCOTTS BLUFF,NE
1987,1267.275955,SCOTTS BLUFF,NE
1988,1066.73213,SCOTTS BLUFF,NE
1989,672.9165789,SCOTTS BLUFF,NE
1990,1075.046362,SCOTTS BLUFF,NE
1991,1505.898581,SCOTTS BLUFF,NE
1992,811.1858788,SCOTTS BLUFF,NE
1993,1077.623023,SCOTTS BLUFF,NE
1994,828.4818245,SCOTTS BLUFF,NE
1995,1710.185811,SCOTTS BLUFF,NE
1996,991.2933458,SCOTTS BLUFF,NE
1997,1144.647824,SCOTTS BLUFF,NE
1998,957.410007,SCOTTS BLUFF,NE
1999,1083.991918,SCOTTS BLUFF,NE
2000,854.1759786,SCOTTS BLUFF,NE
2001,1567.201755,SCOTTS BLUFF,NE
2002,974.2397462,SCOTTS BLUFF,NE
2003,1546.092159,SCOTTS BLUFF,NE
2004,1176.141776,SCOTTS BLUFF,NE
2005,1708.669841,SCOTTS BLUFF,NE
2006,956.2320232,SCOTTS BLUFF,NE
2007,1115.109537,SCOTTS BLUFF,NE
2008,1367.720424,SCOTTS BLUFF,NE
2009,1674.861607,SCOTTS BLUFF,NE
2010,1604.109979,SCOTTS BLUFF,NE
2011,1629.887954,SCOTTS BLUFF,NE
2012,825.7355164,SCOTTS BLUFF,NE
2013,1179.693058,SCOTTS BLUFF,NE
2014,2072.618868,SCOTTS BLUFF,NE
2015,1545.878073,SCOTTS BLUFF,NE
2016,1517.356636,SCOTTS BLUFF,NE
2017,1154.589202,SCOTTS BLUFF,NE
2018,1486.02611,SCOTTS BLUFF,NE
1984,1270.170699,MCKENZIE,ND
1985,1289.941616,MCKENZIE,ND
1986,1767.66734,MCKENZIE,ND
1987,1691.94188,MCKENZIE,ND
1988,828.7258585,MCKENZIE,ND
1989,1216.13406,MCKENZIE,ND
1990,1504.558575,MCKENZIE,ND
1991,1717.94247,MCKENZIE,ND
1992,1286.683657,MCKENZIE,ND
1993,1862.114851,MCKENZIE,ND
1994,1815.979349,MCKENZIE,ND
1995,2085.460381,MCKENZIE,ND
1996,2016.131615,MCKENZIE,ND
1997,1529.07915,MCKENZIE,ND
1998,1641.938878,MCKENZIE,ND
1999,2322.912835,MCKENZIE,ND
2000,1504.326025,MCKENZIE,ND
2001,2164.177899,MCKENZIE,ND
2002,2007.005923,MCKENZIE,ND
2003,2025.429543,MCKENZIE,ND
2004,1805.652387,MCKENZIE,ND
2005,2282.99703,MCKENZIE,ND
2006,1955.785641,MCKENZIE,ND
2007,2129.052002,MCKENZIE,ND
2008,1327.461998,MCKENZIE,ND
2009,1818.596219,MCKENZIE,ND
2010,2625.49279,MCKENZIE,ND
2011,2686.281435,MCKENZIE,ND
2012,1728.338731,MCKENZIE,ND
2013,2854.620204,MCKENZIE,ND
2014,2423.219291,MCKENZIE,ND
2015,1760.359268,MCKENZIE,ND
2016,1979.209293,MCKENZIE,ND
2017,1382.336548,MCKENZIE,ND
2018,2044.739423,MCKENZIE,ND
1984,1262.796329,WILLIAMS,ND
1985,1298.826983,WILLIAMS,ND
1986,1872.887747,WILLIAMS,ND
1987,1627.742124,WILLIAMS,ND
1988,838.5996114,WILLIAMS,ND
1989,1290.861872,WILLIAMS,ND
1990,1468.569697,WILLIAMS,ND
1991,2081.709463,WILLIAMS,ND
1992,1295.298273,WILLIAMS,ND
1993,2059.016273,WILLIAMS,ND
1994,2025.30023,WILLIAMS,ND
1995,2102.178425,WILLIAMS,ND
1996,1754.069758,WILLIAMS,ND
1997,1575.886018,WILLIAMS,ND
1998,1990.366222,WILLIAMS,ND
1999,2598.031522,WILLIAMS,ND
2000,1783.722864,WILLIAMS,ND
2001,2324.947085,WILLIAMS,ND
2002,2140.054915,WILLIAMS,ND
2003,2249.987569,WILLIAMS,ND
2004,2163.080698,WILLIAMS,ND
2005,2276.346294,WILLIAMS,ND
2006,2066.383069,WILLIAMS,ND
2007,2230.983059,WILLIAMS,ND
2008,1459.422497,WILLIAMS,ND
2009,2170.708745,WILLIAMS,ND
2010,2818.614772,WILLIAMS,ND
2011,2614.53115,WILLIAMS,ND
2012,2229.649399,WILLIAMS,ND
2013,3096.920976,WILLIAMS,ND
2014,2288.944179,WILLIAMS,ND
2015,1570.447285,WILLIAMS,ND
2016,2464.075243,WILLIAMS,ND
2017,1470.993956,WILLIAMS,ND
2018,2354.897237,WILLIAMS,ND
